id,sent,lemma,hyper,hypo
0,The fluffy cat napped lazily in the warm sunlight.,cat,"['feline', 'animal']","['wildcat', 'domestic cat', 'house cat', 'leopard', 'jungle cat', 'kitty', 'pussycat', 'lynx', 'siamese cat', 'panther', 'alley cat', 'angora cat', 'persian cat', 'egyptian cat', 'tomcat', 'mountain lion', 'tiger']"
1,The fluffy cat napped lazily in the warm sunlight.,sunlight,"['light', 'daylight']","['sunrays', 'sunbeam']"
2,The creaky door slowly swung open in the gentle breeze.,door,"['structure', 'barrier', 'entry']","['storm door', 'sliding door', 'swinging door', 'fire door', 'french door', 'swing door', 'trap door', 'cargo door', 'car door']"
3,The creaky door slowly swung open in the gentle breeze.,breeze,"['wind', 'air current']","['fresh breeze', 'sea breeze', 'puff of wind', 'air burst']"
4,She wore a vibrant dress to the elegant evening party.,dress,"['clothing', 'article of clothing', 'attire', 'vesture']","['gown', 'morning dress', 'strapless', 'sari', 'saree', 'kaftan', 'cocktail dress', 'sundress', 'sheath', 'coatdress']"
6,She wore a vibrant dress to the elegant evening party.,party,"['gathering', 'occasion']","['feast', 'dance', 'tea party', 'wedding party',  'house party', 'jolly', 'masque party', 'birthday party', 'cocktail party', 'fiesta', 'whig party', 'reception', 'slumber party', 'reunion', 'fete', 'soiree', 'masquerade party', 'garden party', 'dinner party']"
7,The delicious aroma of freshly baked cookies filled the cozy kitchen.,aroma,['smell'],"['whiff', 'scent']"
8,The delicious aroma of freshly baked cookies filled the cozy kitchen.,kitchen,['room'],"['kitchenette', 'galley']"
10,The ancient trees whispered in the peaceful forest.,tree,['being'],"['alder tree', 'hazel tree', 'beech tree', 'ash tree', 'fig tree', 'wild fig', 'gum tree', 'spanish elm', 'silver ash', 'elm tree', 'teak', 'silk wood', 'palm tree', 'yellowwood tree', 'sycamore', 'satinwood tree', 'oak', 'tanbark oak', 'red sanders', 'african walnut', 'walnut tree', 'mahogany', 'coffee tree', 'wild orange', 'rose chestnut', 'rosewood tree', 'ivory tree', 'lime tree', 'bottle tree', 'cork tree', 'sandalwood tree', 'marmalade tree', 'willow', 'lancewood tree',  'wild cinnamon', 'christmas tree', 'lemon-wood tree', 'locust tree', 'white mangrove', 'birch', 'granadilla tree', 'chinese scholar tree']"
11,The ancient trees whispered in the peaceful forest.,forest,"['countryside', 'area']",['grove']
12,The excited children eagerly awaited the colorful fireworks.,child,"['person', 'individual']","['kindergartener', 'street child', 'fosterling', 'rascal', 'kiddy', 'kid', 'orphan', 'toddler', 'foster child', 'preschooler', 'boy', 'girl', 'schoolgirl', 'schoolboy']"
13,The excited children eagerly awaited the colorful fireworks.,firework,['spectacle'],"['sparklers', 'firecrackers', 'crackers', 'soda crackers',  'cherry bombs', 'rockets']"
14,A sunny day greeted us as we stepped outside.,day,['weather'],"['Tuesday', 'Sunday', 'election day', 'wash day', 'april fools day', 'first of may', 'inauguration day']"
15,The clear water sparkled in the afternoon sunlight.,water,['liquid'],"['saltwater', 'distilled water', 'meltwater', 'spring water', 'seawater', 'tap water', 'drinking water', 'fresh water']"
17,The clear water sparkled in the afternoon sunlight.,sunlight,['light'],"['sunrays', 'sunbeam']"
18,The curious puppy sniffed around the spacious garden.,garden,"['plot', 'grounds',  'plot of land', 'patch']","['pot farm', 'rock garden', 'vegetable patch', 'herb garden', 'kitchen garden', 'vegetable garden', 'rose garden', 'flower garden', 'orchard']"
23,The little girl giggled joyfully as she played with her toys.,girl,"['child', 'person', 'creature']","['lass', 'dame', 'wench', 'sister', 'chick', 'gal', 'maid', 'lassie']"
24,The little girl giggled joyfully as she played with her toys.,toy,"['thing', 'stuff']","['doll', 'multicolored ball', 'trinket', 'teddy bear']"
25,The speedy car drove down the empty highway.,car,"['motor vehicle', 'vehicle']","['landrover', 'police cruiser', 'convertible', 'suv', 'sports car', 'taxicab', 'limousine', 'limo', 'coupe', 'hatchback', 'minicar', 'sedan', 'jeep', 'roadster', 'taxi', 'patrol car', 'cab', 'race car', 'electric car', 'passenger car', 'cruiser']"
26,The speedy car drove down the empty highway.,highway,['road'],"['dual carriageway', 'interstate', 'divided highway', 'state highway', 'superhighway', 'interstate highway']"
29,The enormous elephant gracefully moved through the tall grass.,elephant,"['animal', 'mammal']","['mammoth', 'african elephant', 'indian elephant', 'woolly mammoth', 'imperial elephant']"
30,The enormous elephant gracefully moved through the tall grass.,grass,['vegetation'],"['orchard grass', 'reed grass', 'meadow grass', 'tall oat grass', 'fountain grass', 'bluegrass', 'ryegrass', 'lyme grass', 'short-grass', 'goat grass', 'devil grass', 'lemongrass', 'broom grass', 'silver grass', 'pampas grass', 'crab grass', 'beach grass']"
31,The steaming tea warmed her cold hands.,tea,"['beverage', 'drink']","['black tea', 'green tea', 'herbal tea']"
37,His wise advice was invaluable in the difficult situation.,advice,"['word', 'input', 'manifestation', 'indication']","['recommendation', 'suggestion', 'warning', 'tactical warning']"
39,The fragrant flowers bloomed in the lush garden.,flower,['plant'],"['white daisy', 'peace lily', 'cotton rose', 'aster', 'blue marguerite', 'gerardia', 'wandflower', 'violet', 'peony', 'moon daisy', 'anemone', 'poppy', 'orchid', 'bush violet', 'butterfly flower', 'cape marigold', 'vervain', 'sunflower', 'sun marigold', 'blue daisy', 'calla', 'petunia', 'marigold', 'calendula', 'daisy', 'rose']"
40,The fragrant flowers bloomed in the lush garden.,garden,"['grounds',  'plot of land',  'vegetation']","['rock garden', 'herb garden', 'rose garden', 'flower garden']"
41,The intricate design on the ancient vase fascinated the visitors.,design,['quality'],"['shape', 'decoration', 'artwork']"
42,The intricate design on the ancient vase fascinated the visitors.,vase,"['piece of cutlery', 'pottery']","['urn', 'flower vase']"
43,The intricate design on the ancient vase fascinated the visitors.,visitor,"['person', 'individual']","['guest', 'invitee', 'guest of honour']"
44,The mischievous kitten batted at a colorful ball.,kitten,"['animal', 'cat']","['house kitten', 'siamese kitten', 'angora kitten']"
45,The mischievous kitten batted at a colorful ball.,ball,"['toy', 'sphere']","['beach ball', 'playground ball', 'squash ball', 'tennis ball']"
46,The strict teacher maintained order in the busy classroom.,teacher,"['educator',  'pedagogue', 'professional']","['private instructor', 'french teacher', 'governess', 'school teacher', 'science teacher', 'math teacher', 'english teacher']"
48,The strict teacher maintained order in the busy classroom.,classroom,['room'],"['computer lab', 'math classroom']"
49,The cozy blanket kept her warm on the chilly evening.,blanket,['cover'],"['security blanket', 'mackinaw blanket', 'warm blanket', 'colorful blanket']"
50,The cozy blanket kept her warm on the chilly evening.,evening,['times'],"['guest night', 'late evening']"
52,The fresh air invigorated the hikers on the trail.,hiker,"['traveler', 'person', 'walker']","['packer', 'backpacker']"
53,The fresh air invigorated the hikers on the trail.,trail,['path'],"['horse-trail', 'indian trail', 'cattle trail', 'mountain trail', 'deer trail', 'ski trail']"
54,The resilient tree weathered the strong storm.,tree,"['plant', 'flora']","['alder tree', 'hazel tree', 'beech tree', 'ash tree', 'fig tree', 'wild fig', 'gum tree', 'spanish elm', 'silver ash', 'elm tree', 'teak', 'silk wood', 'palm tree', 'yellowwood tree', 'sycamore', 'satinwood tree', 'oak', 'tanbark oak', 'red sanders', 'african walnut', 'walnut tree', 'mahogany', 'coffee tree', 'wild orange', 'rose chestnut', 'rosewood tree', 'ivory tree', 'lime tree', 'bottle tree', 'cork tree', 'sandalwood tree', 'marmalade tree', 'willow', 'lancewood tree',  'wild cinnamon', 'christmas tree', 'lemon-wood tree', 'locust tree', 'white mangrove', 'birch', 'granadilla tree', 'chinese scholar tree']"
55,The resilient tree weathered the strong storm.,storm,['wind'],"['snowstorm', 'windstorm', 'rainstorm', 'ice storm', 'hailstorm', 'thunderstorm', 'electrical storm', 'blizzard']"
56,The delicious soup filled the kitchen with a savory aroma.,soup,"['dish', 'food']","['broth', 'vegetable soup', 'potage', 'green pea soup', 'borsh', 'minestrone', 'lentil soup', 'gazpacho', 'oxtail soup', 'chicken soup', 'scotch broth', 'philadelphia pepper pot', 'pottage', 'borsch', 'turtle soup', 'pea soup']"
57,The delicious soup filled the kitchen with a savory aroma.,kitchen,['room'],"['kitchenette', 'galley']"
61,The energetic puppy dashed around the spacious yard.,puppy,"['domestic animal', 'animal', 'dog', 'creature']","['newfoundland puppy', 'spitz puppy', 'dalmatian puppy', 'poodle puppy', 'collie puppy', 'german shepherd puppy', 'terrier puppy', 'spaniel puppy']"
62,The energetic puppy dashed around the spacious yard.,yard,"['enclosure', 'area']","['playground', 'churchyard', 'schoolyard', 'backyard', 'chicken yard', 'front yard', 'farmyard']"
63,The rusted key unlocked the mysterious chest.,key,['access device'],"['latchkey', 'master key']"
64,The rusted key unlocked the mysterious chest.,chest,"['box', 'container']","['sea chest', 'cedar chest', 'wedding chest', 'coffer', 'toy box', 'treasure chest', 'tool case']"
65,Her radiant smile lit up the entire room.,smile,"['facial expression', 'expression']",['smirk']
66,Her radiant smile lit up the entire room.,room,['place'],"['sun parlor', 'sewing room', 'bar', 'sunroom', 'den', 'prison cell', 'billiard parlour', 'parlour', 'control room', 'lounge', 'hospital room', 'dining room', 'reading room', 'squad room', 'waiting room', 'chamber', 'greenroom', 'jail cell', 'study', 'conference room', 'boardroom', 'guardroom', 'dressing room', 'bedroom',  'lobby', 'clubroom', 'kitchen', 'reception room', 'dance hall', 'hall', 'parlor', 'recreation room', 'storeroom', 'saloon', 'furnace room', 'engine room', 'solarium', 'living room', 'scriptorium', 'entrance hall', 'classroom', 'locker room', 'ballroom']"
67,The sharp scent of onions made her eyes water.,scent,['smell'],['tear-inducing scent' ]
68,The sharp scent of onions made her eyes water.,onion,['vegetable'],"['scallion', 'green onion', 'egyptian onion', 'bermuda onion', 'japanese leek', 'spanish onion', 'shallot', 'red-skinned onion', 'welsh onion', 'spring onion']"
72,The serene lake mirrored the surrounding mountains.,lake,"['body of water', 'water']","['lagoon', 'pond', 'artificial lake']"
73,The serene lake mirrored the surrounding mountains.,mountain,"['geological formation', 'natural elevation']","['seamount', 'alp', 'volcano', 'hill']"
74,The polished stone skipped across the glassy lake.,stone,['object'],"['springer', 'whetstone']"
75,The polished stone skipped across the glassy lake.,lake,"['body of water', 'water']","['lagoon', 'pond', 'artificial lake', 'pool']"
76,The booming thunder startled the children.,thunder,"['noise', 'sound']",['thunderclap']
77,The booming thunder startled the children.,child,"['person', 'individual']","['kindergartener', 'street child', 'fosterling', 'rascal', 'kiddy', 'kid', 'orphan', 'toddler', 'foster child', 'preschooler', 'boy', 'girl']"
78,The slender ballerina glided elegantly across the stage.,ballerina,"['dancer', 'performer', 'performing artist']",['prima ballerina']
79,The slender ballerina glided elegantly across the stage.,stage,"['scene', 'setting']","['theatre stage', 'forestage', 'stage boards']"
81,The frosty morning glistened with dew.,dew,"['condensation', 'droplets']",['misty dew']
82,The curious child asked endless questions about the world.,child,"['person', 'creature']","['kindergartener', 'street child', 'fosterling', 'rascal', 'kiddy', 'kid', 'orphan', 'toddler', 'foster child', 'preschooler', 'boy', 'girl', 'schoolgirl', 'schoolboy']"
85,The wooden cabin nestled among the tall trees.,cabin,"['house', 'residence', 'habitation', 'building']",['log cabin']
