word,specific,abstract,abs_choice,spec_choice,arb_choice1,arb_choice2
Beautiful,she has a beautiful face.,she has a beautiful soul.,,,,
World,The world is very old.,He lives in his own world.,,,,
School,The school is near the park.,School is a garden to nurture the mind.,,,,
Oxygen,Oxygen is crucial to life.,Music is my oxygen.,,,,
Morality,Morality guides our decisions of right and wrong.,Morality is the compass guiding our actions.,,,,
Corruption,Corruption is a misuse of power for personal gain.,Corruption is the rust eating away at integrity.,,,,
Law,Law outlines legal and illegal actions.,Law is the framework supporting the edifice of society.,,,,
Apple,John enjoys eating apple and staying healthy.,John says his doughter is the apple of his eye.,,,,
Book,Sarah loves to read a good book before going to bed.,Sarah is an open book and always transparent with her thoughts and feelings.,,,,
sharp,The knife is sharp. What does sharp mean?,She has a sharp mind.,intelligent,cutting edge,She is not intelligent,The knife has a dull edge
light,He turned on the light.What does light mean?,You are the light of my life. What does light mean?,joy,illumination,source of sadness,turned off the source of illumination
key,He turned the key in the lock. What is the meaning of key?,Education is the key to success. What is the meaning of key?,Means to success,Lock device,Education is the barrier to success,He removed the device from operating the lock
cold,He gave me a cold water. What is the meaning of cold?,He gave me a cold stare. What is the meaning of cold?,unfriendly look,low temprature,He looked at me warmly,The weather is high in temperature
hard,The surface is hard.,He is a hard worker.,diligent worker,solid,He is a lazy worker,The surface is soft
deep,The pool is deep.,He is a deep thinker.,profound thinker,large depth,shallow thinker,small depth
bright,The room is bright. What is the meaning of bright?,She has a bright future. What is the meaning of bright?,hopeful,well lit,bleak future,dim
heavy,The box is heavy.,His heart was heavy with sorrow.,deeply saddened,great weight,He was extremely joyful,The box is of light weight
clean,The room is clean.,He has a clean record.,unblemished record,free from dirt,He has a tarnished record,The room is dirty
rich,He is rich.,The soil is rich.,fertile,wealthy,infertile,He is poor
beautiful,she has a beautiful face.,she has a beautiful soul.,good person,good looking,ugly,terrible person
Book,He opened the book.,He is an open book.,transparent,reading,He is closed book.,difficult to understand
Tradition, "The tradition of Thanksgiving is celebrated in the United States.","Tradition is the thread that weaves us together through time.",,,,
Modernity, "Modernity is often associated with urban life.","Modernity is the mirror reflecting our evolving selves.",,,,
Ritual, "The ritual of tea ceremony is important in Japanese culture.","Ritual is the dance of the soul with the divine.",,,,
Innovation, "Innovation is key in the technology industry.","Innovation is the spark that ignites the future.",,,,
Heritage, "The heritage site was preserved for its historical significance.","Heritage is the tree rooted in the past, branching into the future.",,,,
Progress, "Progress in civil rights has been significant over the past century.","Progress is the journey of humanity towards betterment.",,,,
Custom, "It is a custom in India to greet elders by touching their feet.","Custom is the rhythm to which societies sway.",,,,
Change, "Change is the only constant in life.","Change is the river that carves the landscape of life.",,,,
