,sent_id,sent,lemma,hyper,hypo,word,form,start,tokenized_sent
0,0,The fluffy cat napped lazily in the warm sunlight.,cat,"['feline', 'animal']","['wildcat', 'domestic cat', 'house cat', 'leopard', 'jungle cat', 'kitty', 'pussycat', 'lynx', 'siamese cat', 'panther', 'alley cat', 'angora cat', 'persian cat', 'egyptian cat', 'tomcat', 'mountain lion', 'tiger']",cat,singular,2,"['The', 'fluffy', 'cat', 'napped', 'lazily', 'in', 'the', 'warm', 'sunlight', '.']"
1,0,The fluffy cat napped lazily in the warm sunlight.,sunlight,"['light', 'daylight']","['sunrays', 'sunbeam']",sunlight,singular,8,"['The', 'fluffy', 'cat', 'napped', 'lazily', 'in', 'the', 'warm', 'sunlight', '.']"
2,1,The creaky door slowly swung open in the gentle breeze.,door,"['structure', 'barrier', 'entry']","['storm door', 'sliding door', 'swinging door', 'fire door', 'french door', 'swing door', 'trap door', 'cargo door', 'car door']",door,singular,2,"['The', 'creaky', 'door', 'slowly', 'swung', 'open', 'in', 'the', 'gentle', 'breeze', '.']"
3,1,The creaky door slowly swung open in the gentle breeze.,breeze,"['wind', 'air current']","['fresh breeze', 'sea breeze', 'puff of wind', 'air burst']",breeze,singular,9,"['The', 'creaky', 'door', 'slowly', 'swung', 'open', 'in', 'the', 'gentle', 'breeze', '.']"
4,2,She wore a vibrant dress to the elegant evening party.,dress,"['clothing', 'article of clothing', 'attire', 'vesture']","['gown', 'morning dress', 'strapless', 'sari', 'saree', 'kaftan', 'cocktail dress', 'sundress', 'sheath', 'coatdress']",dress,singular,4,"['She', 'wore', 'a', 'vibrant', 'dress', 'to', 'the', 'elegant', 'evening', 'party', '.']"
5,2,She wore a vibrant dress to the elegant evening party.,party,"['gathering', 'occasion']","['feast', 'dance', 'tea party', 'wedding party', 'house party', 'jolly', 'masque party', 'birthday party', 'cocktail party', 'fiesta', 'whig party', 'reception', 'slumber party', 'reunion', 'fete', 'soiree', 'masquerade party', 'garden party', 'dinner party']",party,singular,9,"['She', 'wore', 'a', 'vibrant', 'dress', 'to', 'the', 'elegant', 'evening', 'party', '.']"
6,3,The delicious aroma of freshly baked cookies filled the cozy kitchen.,aroma,['smell'],"['whiff', 'scent']",aroma,singular,2,"['The', 'delicious', 'aroma', 'of', 'freshly', 'baked', 'cookies', 'filled', 'the', 'cozy', 'kitchen', '.']"
7,3,The delicious aroma of freshly baked cookies filled the cozy kitchen.,kitchen,['room'],"['kitchenette', 'galley']",kitchen,singular,10,"['The', 'delicious', 'aroma', 'of', 'freshly', 'baked', 'cookies', 'filled', 'the', 'cozy', 'kitchen', '.']"
8,4,The ancient trees whispered in the peaceful forest.,tree,['being'],"['alder tree', 'hazel tree', 'beech tree', 'ash tree', 'fig tree', 'wild fig', 'gum tree', 'spanish elm', 'silver ash', 'elm tree', 'teak', 'silk wood', 'palm tree', 'yellowwood tree', 'sycamore', 'satinwood tree', 'oak', 'tanbark oak', 'red sanders', 'african walnut', 'walnut tree', 'mahogany', 'coffee tree', 'wild orange', 'rose chestnut', 'rosewood tree', 'ivory tree', 'lime tree', 'bottle tree', 'cork tree', 'sandalwood tree', 'marmalade tree', 'willow', 'lancewood tree', 'wild cinnamon', 'christmas tree', 'lemon-wood tree', 'locust tree', 'white mangrove', 'birch', 'granadilla tree', 'chinese scholar tree']",trees,plural,2,"['The', 'ancient', 'trees', 'whispered', 'in', 'the', 'peaceful', 'forest', '.']"
9,4,The ancient trees whispered in the peaceful forest.,forest,"['countryside', 'area']",['grove'],forest,singular,7,"['The', 'ancient', 'trees', 'whispered', 'in', 'the', 'peaceful', 'forest', '.']"
10,5,The excited children eagerly awaited the colorful fireworks.,child,"['person', 'individual']","['kindergartener', 'street child', 'fosterling', 'rascal', 'kiddy', 'kid', 'orphan', 'toddler', 'foster child', 'preschooler', 'boy', 'girl', 'schoolgirl', 'schoolboy']",children,plural,2,"['The', 'excited', 'children', 'eagerly', 'awaited', 'the', 'colorful', 'fireworks', '.']"
11,5,The excited children eagerly awaited the colorful fireworks.,firework,['spectacle'],"['sparklers', 'firecrackers', 'crackers', 'soda crackers', 'cherry bombs', 'rockets']",fireworks,plural,7,"['The', 'excited', 'children', 'eagerly', 'awaited', 'the', 'colorful', 'fireworks', '.']"
12,6,A sunny day greeted us as we stepped outside.,day,['weather'],"['Tuesday', 'Sunday', 'election day', 'wash day', 'april fools day', 'first of may', 'inauguration day']",day,singular,2,"['A', 'sunny', 'day', 'greeted', 'us', 'as', 'we', 'stepped', 'outside', '.']"
13,7,The clear water sparkled in the afternoon sunlight.,water,['liquid'],"['saltwater', 'distilled water', 'meltwater', 'spring water', 'seawater', 'tap water', 'drinking water', 'fresh water']",water,singular,2,"['The', 'clear', 'water', 'sparkled', 'in', 'the', 'afternoon', 'sunlight', '.']"
14,7,The clear water sparkled in the afternoon sunlight.,sunlight,['light'],"['sunrays', 'sunbeam']",sunlight,singular,7,"['The', 'clear', 'water', 'sparkled', 'in', 'the', 'afternoon', 'sunlight', '.']"
15,8,The curious puppy sniffed around the spacious garden.,garden,"['plot', 'grounds', 'plot of land', 'patch']","['pot farm', 'rock garden', 'vegetable patch', 'herb garden', 'kitchen garden', 'vegetable garden', 'rose garden', 'flower garden', 'orchard']",garden,singular,7,"['The', 'curious', 'puppy', 'sniffed', 'around', 'the', 'spacious', 'garden', '.']"
16,9,The little girl giggled joyfully as she played with her toys.,girl,"['child', 'person', 'creature']","['lass', 'dame', 'wench', 'sister', 'chick', 'gal', 'maid', 'lassie']",girl,singular,2,"['The', 'little', 'girl', 'giggled', 'joyfully', 'as', 'she', 'played', 'with', 'her', 'toys', '.']"
17,9,The little girl giggled joyfully as she played with her toys.,toy,"['thing', 'stuff']","['doll', 'multicolored ball', 'trinket', 'teddy bear']",toys,plural,10,"['The', 'little', 'girl', 'giggled', 'joyfully', 'as', 'she', 'played', 'with', 'her', 'toys', '.']"
18,10,The speedy car drove down the empty highway.,car,"['motor vehicle', 'vehicle']","['landrover', 'police cruiser', 'convertible', 'suv', 'sports car', 'taxicab', 'limousine', 'limo', 'coupe', 'hatchback', 'minicar', 'sedan', 'jeep', 'roadster', 'taxi', 'patrol car', 'cab', 'race car', 'electric car', 'passenger car', 'cruiser']",car,singular,2,"['The', 'speedy', 'car', 'drove', 'down', 'the', 'empty', 'highway', '.']"
19,10,The speedy car drove down the empty highway.,highway,['road'],"['dual carriageway', 'interstate', 'divided highway', 'state highway', 'superhighway', 'interstate highway']",highway,singular,7,"['The', 'speedy', 'car', 'drove', 'down', 'the', 'empty', 'highway', '.']"
20,11,The enormous elephant gracefully moved through the tall grass.,elephant,"['animal', 'mammal']","['mammoth', 'african elephant', 'indian elephant', 'woolly mammoth', 'imperial elephant']",elephant,singular,2,"['The', 'enormous', 'elephant', 'gracefully', 'moved', 'through', 'the', 'tall', 'grass', '.']"
21,11,The enormous elephant gracefully moved through the tall grass.,grass,['vegetation'],"['orchard grass', 'reed grass', 'meadow grass', 'tall oat grass', 'fountain grass', 'bluegrass', 'ryegrass', 'lyme grass', 'short-grass', 'goat grass', 'devil grass', 'lemongrass', 'broom grass', 'silver grass', 'pampas grass', 'crab grass', 'beach grass']",grass,singular,8,"['The', 'enormous', 'elephant', 'gracefully', 'moved', 'through', 'the', 'tall', 'grass', '.']"
22,12,The steaming tea warmed her cold hands.,tea,"['beverage', 'drink']","['black tea', 'green tea', 'herbal tea']",tea,singular,2,"['The', 'steaming', 'tea', 'warmed', 'her', 'cold', 'hands', '.']"
23,13,His wise advice was invaluable in the difficult situation.,advice,"['word', 'input', 'manifestation', 'indication']","['recommendation', 'suggestion', 'warning', 'tactical warning']",advice,singular,2,"['His', 'wise', 'advice', 'was', 'invaluable', 'in', 'the', 'difficult', 'situation', '.']"
24,14,The fragrant flowers bloomed in the lush garden.,flower,['plant'],"['white daisy', 'peace lily', 'cotton rose', 'aster', 'blue marguerite', 'gerardia', 'wandflower', 'violet', 'peony', 'moon daisy', 'anemone', 'poppy', 'orchid', 'bush violet', 'butterfly flower', 'cape marigold', 'vervain', 'sunflower', 'sun marigold', 'blue daisy', 'calla', 'petunia', 'marigold', 'calendula', 'daisy', 'rose']",flowers,plural,2,"['The', 'fragrant', 'flowers', 'bloomed', 'in', 'the', 'lush', 'garden', '.']"
25,14,The fragrant flowers bloomed in the lush garden.,garden,"['grounds', 'plot of land', 'vegetation']","['rock garden', 'herb garden', 'rose garden', 'flower garden']",garden,singular,7,"['The', 'fragrant', 'flowers', 'bloomed', 'in', 'the', 'lush', 'garden', '.']"
